CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Latitude,Longitude,Premise,Total Incidents
12/31/16,11:50:00,6G,5100 ARDMORE WAY,LARCENY,I,,426,NORTHEASTERN,Waltherson,39.33777,-76.5563,OTHER - IN,1
12/31/16,11:45:00,4E,1700 COLE ST,COMMON ASSAULT,O,HANDS,935,SOUTHERN,New Southwest/Mount Clare,39.28217,-76.64371,STREET,1
12/31/16,11:30:00,6C,2400 FREDERICK AVE,LARCENY,I,,841,SOUTHWESTERN,Millhill,39.28343,-76.65581,OTHER - IN,1
12/31/16,11:20:00,4E,1100 WEBB CT,COMMON ASSAULT,O,HANDS,312,EASTERN,Oldtown,39.3007,-76.60266,STREET,1
12/31/16,11:10:00,4D,100 PALORMO AVE,AGG. ASSAULT,I,HANDS,842,SOUTHWESTERN,Saint Josephs,39.28323,-76.6752,ROW/TOWNHO,1
12/31/16,11:00:00,6G,3600 ROBERTS PL,LARCENY,I,,223,SOUTHEASTERN,Baltimore Highlands,39.29568,-76.56741,ROW/TOWNHO,1
12/31/16,11:00:00,6D,400 WATER ST,LARCENY FROM AUTO,,,111,CENTRAL,Downtown,39.28862,-76.6095,,1
12/31/16,10:55:00,3CF,1400 MADISON AVE,ROBBERY - COMMERCIAL,I,FIREARM,132,CENTRAL,Madison Park,39.30416,-76.62824,GROCERY/CO,1
12/31/16,10:15:00,6J,2500 RIDGELY ST,LARCENY,,,921,SOUTHERN,Mount Winans,39.26244,-76.64462,,1
12/31/16,10:07:00,6C,400 E PRATT ST,LARCENY,I,,112,CENTRAL,Inner Harbor,39.28668,-76.6098,DRUG STORE,1
12/31/16,9:51:00,6C,CALVERT ST & E LOMBARD ST,LARCENY,I,,111,CENTRAL,Inner Harbor,39.28779,-76.61215,CLOTHING/S,1
12/31/16,9:40:00,6J,5700 PLAINFIELD AVE,LARCENY,I,,444,NORTHEASTERN,Frankford,39.33947,-76.53938,ROW/TOWNHO,1
12/31/16,9:11:00,6J,5600 THE ALAMEDA,LARCENY,O,,522,NORTHERN,Glen Oaks,39.35949,-76.59446,GAS STATIO,1
12/31/16,9:00:00,6D,700 ALICEANNA ST,LARCENY FROM AUTO,O,,211,SOUTHEASTERN,Inner Harbor,39.28299,-76.60286,PARKING LO,1
12/31/16,8:50:00,4A,4600 REISTERSTOWN RD,AGG. ASSAULT,I,FIREARM,614,NORTHWESTERN,Central Park Heights,39.34072,-76.6727,GROCERY/CO,1
12/31/16,8:45:00,6G,3700 EASTERN AVE,LARCENY,I,,231,SOUTHEASTERN,Highlandtown,39.28668,-76.56608,OTHER - IN,1
12/31/16,8:15:00,6D,500 S CURLEY ST,LARCENY FROM AUTO,O,,232,SOUTHEASTERN,Canton,39.2859,-76.5751,STREET,1
12/31/16,7:30:00,5A,1900 FREDERICK AVE,BURGLARY,I,,842,SOUTHWESTERN,Boyd-Booth,39.28671,-76.64722,ROW/TOWNHO,1
12/31/16,7:00:00,5A,1100 DUNDALK AVE,BURGLARY,I,,243,SOUTHEASTERN,Graceland Park,39.28032,-76.53488,ROW/TOWNHO,1
12/31/16,5:40:00,3D,6100 HOLABIRD AVE,ROBBERY - COMMERCIAL,I,,243,SOUTHEASTERN,Broening Manor,39.27214,-76.54303,RETAIL/SMA,1
12/31/16,4:55:00,4E,1200 N CHARLES ST,COMMON ASSAULT,I,HANDS,141,CENTRAL,Mid-Town Belvedere,39.30366,-76.61603,APT/CONDO,1
12/31/16,4:27:00,4E,400 MAUDE AVE,COMMON ASSAULT,O,HANDS,913,SOUTHERN,Brooklyn,39.23913,-76.60342,STREET,1
12/31/16,4:18:00,3AF,200 S BEECHFIELD AVE,ROBBERY - STREET,O,FIREARM,822,SOUTHWESTERN,Tremont,39.28215,-76.69303,STREET,1
12/31/16,3:45:00,3AF,300 YALE AVE,ROBBERY - STREET,O,FIREARM,833,SOUTHWESTERN,Irvington,39.28159,-76.68563,STREET,1